更新日,曲名
2025/12/24,【ギルドの受付嬢ですが、残業は嫌なのでボスをソロ討伐しようかと思います CS】 残業体操(cut&コーラス入-on) ／ アリナ・クローバー(CV.高橋李依)、ライラ(CV.芹澤優)_けんちぃ_1106.mp4
2025/12/24,【魔法少女えれな】「リフトオフ!」[ED][薬師るり][2tr Off-On].mp4
2025/12/24,この本を盗む者は (off-UVRchorus-on) Share※YUKI MV.mp4
2025/12/23,【ワールドダイスター 夢のステラリウム】史上最幸NEW YEAR!／猫足蕾(ON-UVRCUT).mp4
2025/12/23,【推しの子】ファタール／GEMN  ※いろんなアニメの複合MAD ytbママ パート分けあり bb206(On-Off).mp4
2025/12/23,【るRWBY Vol.7】Let's Get Real／Jeff Williams Feat.Casey Lee Williams(Off-On-Guide).mp4
2025/12/23,クスシキ／薬屋のひとりごと／Mrs. GREEN APPLE.mp4
2025/12/23,【薔薇と椿 テーマソング】 華の淑女(cut&コーラス入-on) ／ 桐島ゆか_けんちぃ_1118.mp4
2025/12/22,【アニマエール！】 LOVE for せんぱい！ ／ 牛久花和(CV：白石晴香)［on-cut］.mp4
2025/12/22,【一般曲】群青／YOASOBI ※いろんなアニメの複合MAD ytbちょい加工 bb209 (On-Off).mp4
2025/12/22,【きららファンタジア】Torchlight～夢の灯り～／KiraraQuintet[きらら(楠木ともり)・ランプ(高野麻里佳)・クレア(和氣あず未)・ポルカ(松井恵理子)・コルク(桑原由気)].mp4
2025/12/22,【アイの歌声を聴かせて Sing a Bit of Harmony】[IN]Lead Your Partner／土屋太鳳 bb208 (On-Off).mp4
2025/12/22,【銀河鉄道999】[ed]GALAXY EXPRESS 999／ゴダイゴ ※ライブ映像(On-Off) bb207.mp4
2025/12/22,【リコリス・リコイル】[ed]花の塔／さユり(On-Off) bb205.mp4
2025/12/21,【一般曲】runner／爆風スランプ ytbママ ※いろんなアニメの複合MAD (On-Off) bb204.mp4
2025/12/21,【最後にひとつだけお願いしてもよろしいでしょうか】[op]戦場の華／CHiCO with HoneyWorks(On-Off) bb203.mp4
2025/12/21,【終末ツーリング】[ed]グライド／Myuk(On-Off) ※１～６・１２話映像 bb202.mp4
2025/12/21,【BEYBLADE X】「Stay Gold」[Ed][Jax Jones、Ado][On-Off][アニメ][芝ちゃん].mp4
2025/12/20,【きんいろモザイク】Smiling Bouquet（パート分け）／Rhodanthe［on-cut］.mp4
2025/12/20,「守りたい、その笑顔」佐久間大介（Snow Man）【オフボーカル・コーラス入り】.mp4
2025/12/20,【ウマ娘 プリティーダービー 新時代の扉】［OP］Ready!! Steady!! Derby!!／ジャングルポケット、アグネスタキオン、マンハッタンカフェ、ダンツフレーム（On-Semi-Mvc-Cut）※アニメ映像ver2.3・パート分け有り.mp4
2025/12/20,[ディズニー ツイステッドワンダーランド ザ アニメーション]ED1 Obedience (アニメ)(Off，On)／ハーツラビュル寮生(リドル(花江夏樹)、エース(山下誠一郎)、デュース(小林千晃)、ケイト(小林竜之)、トレイ(鈴木崚汰)).mp4
2025/12/20,[ディズニー ツイステッドワンダーランド ザ アニメーション]OP Piece of my world (アニメ)(Off，On)(パート分け無)／Night Ravens.mp4
2025/12/20,【ホロライブ】「繭と心(LIVE)」[IM][星街すいせい][2tr Off-On].mp4
2025/12/20,【Vtuber】「主人公になれるはずのストーリー」[IM][白玖ウタノ][2tr Off-On].mp4
2025/12/20,【Vtuber】「未来証明」[IM][白玖ウタノ][2tr Off-On].mp4
2025/12/20,【スーパーロボット大戦Y】「反撃 Fight Back!」[OP][JAM Project][2tr Off-On].mp4
2025/12/20,【ホロライブ】「爆ラブ＋ケミストリー」[IM][博衣こより][2tr Off-On].mp4
2025/12/20,【ホロライブ】「一番星」[IM][角巻わため][2tr Off-On].mp4
2025/12/19,【るRWBY Vol.6】Big Metal Shoe／Jeff Williams Feat.Casey Lee Williams(Off-On-RAP-Guide).mp4
2025/12/19,私を喰べたい、ひとでなし (off-UVRchorus-on) リリィ Another Ver【近江汐莉（CV：石川由依）】※Ver2 暫定版 アニメ公式 MV.mp4
2025/12/19,【はるかなレシーブ】揺れる波の彼方に／比嘉かなた(CV：宮下早紀)［on-cut］.mp4
2025/12/19,天元突破グレンラガン (off-UVRchorus-on) 空色デイズ【中川翔子】※2025 12／16 KADOKAWAとソニーミュージックコラボ ラノベ×ミュージック 「ラノオト」 公式 MV.mp4
2025/12/19,【顔に出ない柏田さんと顔に出る太田君】[OP]百面相／はしメロ(On-Cut)【naoo】.mp4
2025/12/19,【プリンセッション・オーケストラ】「TRINITY DIVINE」[In][オルケリア][On-Off][アニメ][加古].mp4
2025/12/19,【ライブ映像 - 5th Live】[スリーズブーケ]My Lucky Clover_ラブライブ！蓮ノ空女学院スクールアイドルクラブ[ユニット 6thシングル]_[3tr](Live-Off-CDOn).mp4
2025/12/19,【るRWBY Vol.6】Indomitable／Jeff Williams Feat.Casey Lee Williams(Off-On-Guide).mp4
2025/12/19,永久のユウグレ (off-UVRchorus-on) プラットフォーム【Uru】※Ver2 アニメ公式 MV.mp4
2025/12/19,【東島丹三郎は仮面ライダーになりたい 挿入歌】 Let's Go!! Rider Kick (TeddyLoid Edit)(cut&コーラス入-on) ／ TeddyLoid_けんちぃ_1108.mp4
2025/12/19,【ブレンパワード】[op]IN MY DREAM／真行寺恵里(On-Off) bb201.mp4
2025/12/19,カードファイト!! ヴァンガード Divinez デラックス決勝編 (off-UVRchorus-on) 'S'／The Way【Ave Mujica】※ED10 第１１話 ED.mp4
2025/12/19,カードファイト!! ヴァンガード Divinez デラックス決勝編 (off-UVRchorus-on) 'S'／The Way【Ave Mujica】※Ave Mujica Official Music MV.mp4
2025/12/19,BanG Dream! Ave Mujica (off-UVRchorus-on) Sophie※Ave Mujica Official Music MV.mp4
2025/12/18,【るRWBY Vol.8】Be Strong and Hit Stuff／Jeff Williams Feat.Casey Lee Williams(Off-On-Guide).mp4
2025/12/18,【SHOW BY ROCK!!ましゅまいれっしゅ!!】[ED]／キミのラプソディー／Mashumairesh!!／On-Off.mp4
2025/12/18,【アルマちゃんは家族になりたい】[OP]ドラマチック・オーバーレイ／ZAQ(On-Cut)【naoo】.mp4
2025/12/18,【ライブ映像 - 5th Live】[Edel Note]AURORA FLOWER_ラブライブ！蓮ノ空女学院スクールアイドルクラブ[5th Live Spade Stage 披露曲]_[2tr](Live-Off).mp4
2025/12/18,アイコトバ／薬屋のひとりごと／アイナジエンド_.mp4
2025/12/18,[美男高校地球防衛部LOVE!LOVE!]ED あなたは遥か一等星 (アニメ)(Off，On)／VEPPer(別府月彦(河本啓佑)、別府日彦(村上喜紀)).mp4
2025/12/18,[美男高校地球防衛部LOVE!LOVE!] ☆Star☆The☆VEPPer☆ (アニメ)(Off，On)／VEPPer(別府月彦(河本啓佑)、別府日彦(村上喜紀)).mp4
2025/12/18,[美男高校地球防衛部LOVE!] 美…EGOISM (アニメ)(Off，On)／下呂阿古哉(寺島拓篤).mp4
2025/12/18,[美男高校地球防衛部LOVE!] 我ら正義のカエルラ・アダマス!! (アニメ)(Off，On)／地球征服部(草津錦史郎(神谷浩史)、有馬燻(福山潤)、下呂阿古哉(寺島拓篤)).mp4
2025/12/18,[美男高校地球防衛部LOVE!]ED I miss youの3メートル (アニメ)(Off，On)／地球征服部(草津錦史郎(神谷浩史)、有馬燻(福山潤)、下呂阿古哉(寺島拓篤)).mp4
2025/12/18,[美男高校地球防衛部LOVE!] Butler's Philosophy (アニメ)(Off，On)／有馬燻(福山潤).mp4
2025/12/18,[美男高校地球防衛部LOVE!LOVE!]OP 沸点突破☆LOVE IS POWER☆ (アニメ)(Off，On)／地球防衛部(箱根有基(山本和臣)、由布院煙(梅原裕一郎)、鬼怒川熱史(西山宏太朗)、鳴子硫黄(白井悠介)、蔵王立(増田俊樹)).mp4
2025/12/18,[美男高校地球防衛部LOVE!]OP 絶対無敵☆Fallin' LOVE☆ (アニメ)(Off，On)／地球防衛部(箱根有基(山本和臣)、由布院煙(梅原裕一郎)、鬼怒川熱史(西山宏太朗)、鳴子硫黄(白井悠介)、蔵王立(増田俊樹)).mp4
2025/12/18,[美男高校地球防衛部LOVE!]OP 絶対無敵☆Fallin' LOVE☆ (LIVE)(Off，On)／地球防衛部(箱根有基(山本和臣)、由布院煙(梅原裕一郎)、鬼怒川熱史(西山宏太朗)、鳴子硫黄(白井悠介)、蔵王立(増田俊樹)).mp4
2025/12/18,[美男高校地球防衛部LOVE!] Just going now!! (アニメ)(Off，On)／地球防衛部(箱根有基(山本和臣)、由布院煙(梅原裕一郎)、鬼怒川熱史(西山宏太朗)、鳴子硫黄(白井悠介)、蔵王立(増田俊樹)).mp4
2025/12/18,[美男高校地球防衛部LOVE!] 俺は究極怠慢主義者!! (アニメ)(Off，On)／由布院煙(梅原裕一郎).mp4
2025/12/18,[美男高校地球防衛部LOVE!] Just going now!! (LIVE)(Off，On)／地球防衛部(箱根有基(山本和臣)、由布院煙(梅原裕一郎)、鬼怒川熱史(西山宏太朗)、鳴子硫黄(白井悠介)、蔵王立(増田俊樹)).mp4
2025/12/18,【湾岸MIDNIGHT 】lights and any more  ※OP (DJKOO＋UVRコーラス入-UVRコーラス入-on) ／ TRF .mp4
2025/12/18,【ブサメンガチファイター】「My Way」[Op][TEMPEST][On-Off][アニメ][芝ちゃん]パート分け無し.mp4
2025/12/17,ファンシーガール (オズの魔法使い_OP) 山野さと子 (2ch_VC_ON) UVR online版.mp4
2025/12/17,【ハロー!!きんいろモザイク】じゅんぱくいろシクラメン／アリス・カータレット (CV：田中真奈美)［on-cut］.mp4
2025/12/17,【野生のラスボスが現れた！】[OP]レベルを上げて物理で殴る[岸田教団&THE明星ロケッツ](on-cut)krk.mp4
2025/12/17,【野生のラスボスが現れた！】[OP]レベルを上げて物理で殴る[岸田教団&THE明星ロケッツ](on-cut)krk.mp4
2025/12/17,[んなっしょいぱっしょん／姫森ルーナ]ホロライブ[on-off].mp4
2025/12/17,【BEYBLADE X】「Invincible」[Op][i-dle][On-Off][アニメ][芝ちゃん]パート分け無し.mp4
2025/12/16,ガリアン・ワールド (機甲界ガリアン_OP) EUROX (2ch_VC_ON) UVR online版.mp4
2025/12/16,「ロマンティスト・キラー」SI-VIS【オフボーカル・コーラス入り】.mp4
2025/12/16,アンビバレント／薬屋のひとりごと／Uru.mp4
2025/12/16,【キミと越えて恋になる】[OP]くすぐったい。／CHiCO with HoneyWorks(On-Cut)【naoo】.mp4
2025/12/16,【愛少女ポリアンナ物語】【ED】【幸福】【工藤夕貴】【off-on】.mp4
2025/12/16,【Summer Pockets】フィニステラー／鈴木このみ(off-on).mp4
2025/12/16,【アイドルマスターシャイニーカラーズ】Shower of light／イルミネーションスターズ[on-off-ハーフ]※パート分け.mp4
2025/12/16,【妃教育から逃げたい私】-福山潤-君としか恋しない(cut-on)最終話まで.mp4
2025/12/16,【プロジェクトセカイ カラフルステージ! feat. 初音ミク】-初音ミク-ペンタトニック(cut-on)3DMVver2.mp4
2025/12/16,【元祖！バンドリちゃん】-愛美 佐倉綾音 前島亜美 相羽あいな 伊藤美来-元祖！バンドリちゃんのテーマ(cut-on)パート分け.mp4
2025/12/16,[フィニステラ―／鈴木このみ]Summer Pockets[on-off]AI.mp4
2025/12/15,「千夜一夜 feat. 仲宗根泉（本人映像）」Hilcrhyme【オフボーカル・コーラス入り】.mp4
2025/12/15,「Spiral feat. Yura」レイニ【オフボーカル・コーラス入り】.mp4
2025/12/15,【はねバド!】[op]ふたりの羽根／YURiKA(On-Off) bb200.mp4
2025/12/15,[Pale Blaze／米倉千尋]9-nine- Ruler's Crown[on-off]2.mp4
2025/12/15,THE REVO／ポルノグラフィティ／僕のヒーローアカデミア (MVC-On-Off) 【FINAL SEASON】.mp4
2025/12/14,【PSYCHO-PASS】[ed]All Alone With You／EGOIST(On-Off) bb199.mp4
2025/12/14,【葬送のフリーレン】[ed]Anytime Anywhere／milet(On-Off) ※公式MVとEDちょい編集 bb198.mp4
2025/12/14,【BanG Dream! Ave Mujica】[op]KiLLKiSS／Ave Mujica(On-Off) bb196.mp4
2025/12/14,【BanG Dream! Ave Mujica】[ed]Georgette Me， Georgette You／Ave Mujica(On-Off)  bb197.mp4
2025/12/14,星の1秒 (機甲界ガリアン_ED) EUROX (2ch_VC_ON) UVR online版.mp4
2025/12/14,アブナイキオク [DUOP] (cut) かぐや様は告らせたい 大人への階段.mp4
2025/12/14,【るRWBY Vol.9】Checkmate／Casey Lee Williams(Off-On-Guide).mp4
2025/12/14,【し呪術廻戦】Specialz(English Version)／NateWantsToBattle(Off-On-Guide).mp4
2025/12/14,【ソードアート・オンライン】innocence(English Version)／AmaLee(Off-On-Guide).mp4
2025/12/14,【ひだまりスケッチ　卒業編】またね、ようこそ、ひだまり荘／ゆの・宮子.mp4
2025/12/13,恋(MV)／茅原実里［on-cut］.mp4
2025/12/13,「⽣きて、燦々」いきものがかり【オフボーカル・コーラス入り】.mp4
2025/12/13,【ガチアクタ】[ED]／番／カラノア／On-Off.mp4
2025/12/13,【夜のクラゲは泳げない】[12話挿入歌]lovely weather(パート分け有)／サンフラワードールズ〔On〕.mp4
2025/12/13,「愛のかたまり」DOMOTO【オフボーカル・コーラス入り】.mp4
2025/12/13,ちゃんと吸えない吸血鬼ちゃん (off-UVRchorus-on) 青春のシルエット【H△G】※Ver2.mp4
2025/12/13,「シェイプシフター」This is LAST【オフボーカル・コーラス入り】.mp4
2025/12/13,「if you come」Aqua Timez【オフボーカル・コーラス入り】.mp4
2025/12/13,さわらないで小手指くん (off-UVRchorus-on) U.K.U【UtaGe!】※完全デレギュラ版.mp4
2025/12/13,【カービィのエアライダー】流星の路｜YuReeNa(Cut-On)｜ゲーム｜ギン.mp4
2025/12/13,【東島丹三郎は仮面ライダーになりたい】[op]Wanna be／SingerTeddyLoid feat. Shigeru Matsuzaki & TOPHAMHAT-KYO_bb195 ※パート分け  (On-Off).mp4
2025/12/12,百獣王ゴライオン 挿入歌_ゴライオン讃歌_水木一郎・こおろぎ'73・コロムビアゆりかご会_2CH.mp4
2025/12/12,【ワールドダイスター】暁星アストレーション／カトリナ・グリーベル(天城サリー)、ラモーナ・ウォルフ(田中美海)(ON-UVRCUT).mp4
2025/12/12,BanG Dream! Ave Mujica (off-UVRchorus-on) 神さま、バカ【Ave Mujica】※1st Album「Completeness」Blu-rayより Ave Mujica 4th LIVE「Adventus」 in 武蔵野の森総合スポーツプラザ.mp4
2025/12/12,【アイドルマスターシャイニーカラーズ】泥濘鳴鳴／CoMETIK[on-off-ハーフ]※パート分け.mp4
2025/12/12,【劇場版 ゾンビランドサガ ゆめぎんがパラダイス】今を未来をありがとう※6パート、PV+1期2期映像｜(Off-On)｜フランシュシュ｜ギン.mp4
2025/12/12,荊の薔薇／トゲナシトゲアリ／劇場版総集編 ガールズバンドクライ なぁ、未来。 (MVC-On-Off).mp4
2025/12/12,学園アイドルマスター (off-UVRchorus-on) 理論武装して【初星学園】※リクエスト曲 学園アイドルマスター公式 MV+α.mp4
2025/12/12,【川柳少女】「ORDINARY LOVE」[Ed][逢田梨香子][On-Off][アニメ][芝ちゃん].mp4
2025/12/12,「理論武装して」雨夜燕(天音ゆかり)【オフボーカル・コーラス入り】.mp4
2025/12/12,【ばっどがーる】KING OF EVIL(パート分け)／天狼群[on-cut].mp4
2025/12/12,「Goodbye My Love」BOYS END SWING GIRL【オフボーカル・コーラス入り】.mp4
2025/12/12,「イイじゃん」M!LK【オフボーカル・コーラス入り】.mp4
